Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves an adversary directly interacting with a victim to manipulate them into divulging confidential information?	Spearphishing Attachment (T1193)	Social Engineering (T1140)	Remote Access Tools (T1219)	Man-in-the-Middle Attack (T1557)	B	Social Engineering (T1140) is the correct answer as it specifically involves manipulating individuals into performing actions or divulging confidential information. Spearphishing Attachment (T1193) focuses on sending malicious attachments via email. Remote Access Tools (T1219) refers to tools allowing remote access to systems. Man-in-the-Middle Attack
Which MITRE ATT&CK technique involves an adversary exploiting a weakness in a third-party service that is used in the target environment to gain initial access?	(A) Exploit Public-Facing Application (T1190)	(B) Third-party Software (T1072)	(C) Exploitation for Client Execution (T1203)	(D) Exploitation for Privilege Escalation (T1068)	B	Adversaries can exploit weaknesses in third-party services like software applications to gain initial access to a target environment, as described in the Third-party Software (T1072) technique. This technique involves leveraging vulnerabilities in software
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using an application layer protocol to communicate with a command and control server?	Process Injection (T1055)	Data Staged (T1074)	Command and Control (T1009)	Remote File Copy (T1105)	C	Command and Control (T1009) corresponds to adversaries communicating over an application layer protocol with a command and control server, making it the correct choice in this scenario.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using methods that can bypass security mechanisms, such as application control, to execute malicious payloads?	T1548.002 - Abuse Elevation Control Mechanism	T1059.001 - Command-Line Interface	T1566.001 - Phishing	T1078.002 - Valid Accounts	T1548.002 - Abuse Elevation Control Mechanism	Adversaries may abuse elevation control mechanisms to execute malicious payloads while bypassing security mechanisms, such as application control.
Which MITRE ATT&CK technique involves an adversary manipulating the timing or logic of an input/output control within a cyber-physical system to achieve their objectives?	Process Injection (T1055) - Process Injection	Man-in-the-Middle (T1557) - Man-in-the-Middle	Control Device Identification (T818) - Control Device Identification	Manipulate Device Communication (T848) - Manipulate Device Communication	C	Manipulate Device Communication (T848) involves an adversary manipulating the timing or logic of an input/output control within a cyber-physical system to achieve their objectives, making it a critical technique to understand in the ICS platform
Which MITRE ATT&CK technique involves an adversary sending phishing emails to targeted individuals within an organization?	Spearphishing Attachment (T1193)	Phishing for Information (T1598)	Spearphishing Link (T1192)	Phishing via Service (T1583)	C	Spearphishing is a targeted form of phishing where attackers tailor their emails to specific individuals or organizations. Spearphishing Link (T1192) specifically focuses on using malicious links in these emails to deceive targets.
Which technique in the MITRE ATT&CK framework (Enterprise) involves an attacker leveraging a compromised system to launch an attack on other systems within the same network?	Reconnaissance: Active Scanning (T1595.002)	Valid Accounts (T1078)	Lateral Tool Transfer (T1570)	Exploitation for Credential Access (T1212)	C	Lateral Tool Transfer (T1570) is the technique where an attacker uses a compromised system to move attack tools to another system within the same network, facilitating further exploitation.
Which MITRE ATT&CK technique involves an adversary sending an attachment with malicious content to the target, leveraging the trust users have in certain file types?	Phishing Attachment (T1193)	Exploit Public-Facing Application (T1190)	Spearphishing Link (T1192)	Remote File Copy (T1105)	C	Spearphishing Link (T1192)
Which MITRE ATT&CK technique involves an adversary sending email with a weaponized attachment that may compromise the target system when opened?	T1566.001 - Spearphishing Attachment	T1133 - External Remote Services	T1020 - Automated Exfiltration	T1190 - Exploit Public-Facing Application	A	T1566.001 - Spearphishing Attachment is specifically designed for sending malicious emails with weaponized attachments to compromise systems. T1133, T1020, and T1190 relate to different techniques not directly associated with sending weaponized email attachments.
Which MITRE ATT&CK technique involves an adversary manipulating the control protocols in industrial control systems to cause disruption?	Process Injection (T1055)	Man-in-the-Middle (T1556)	Control Device (T1588)	Firmware Corruption (T1542)	C	Control Device (T1588) involves an adversary manipulating the control protocols in industrial control systems to cause disruption.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary creating a new process with higher privileges to bypass process whitelisting and execute malicious payloads?	Create Account (T1136)	Process Injection (T1055)	New Service (T1050)	Bypass User Account Control (T1088)	Bypass User Account Control (T1088)	"The technique ""Bypass User Account Control (T1088)"" involves an adversary creating a new process with higher privileges to evade process whitelisting and execute malicious payloads."
Which MITRE ATT&CK technique involves an adversary using a malicious file to execute code on a victim's system without the user's interaction?	Command and Scripting Interpreter	Exploitation for Client Execution	Trusted Relationship	Remote File Copy	B	Exploitation for Client Execution (T1203) is the MITRE ATT&CK technique where an adversary uses a malicious file to execute code on a victim's system without the user's interaction. This technique is often used to gain initial access to a system.
Which MITRE ATT&CK technique involves an adversary abusing a valid system process to hide malicious activity?	Process Hollowing	Obfuscated Files or Information	Valid Accounts	Scripting	TBD	Process Hollowing (T1055) is a technique where adversaries inject malicious code into a legitimate process to evade detection and hide their activities.
Which MITRE ATT&CK technique involves an adversary sending phishing emails with a malicious attachment to gain initial access to a target network?	Spearphishing Attachment	Spearphishing Link	Phishing for Information	Phishing for Credentials	B	Spearphishing Attachment is a technique where an adversary sends emails with malicious attachments to gain initial access to a network, a common tactic in cyber threat intelligence.
Which MITRE ATT&CK technique involves an adversary using tools to collect data from a compromised system and exfiltrate it over the network?	Replication Through Removable Media (T1025 - Data from Removable Media)	Lateral Tool Transfer (T1570 - Lateral Tool Transfer)	Data Staging (T1074 - Data Staging)	Data Transfer Size Limits (T1030 - Data Transfer Size Limits)	B	"MITRE ATT&CK technique ""Lateral Tool Transfer (T1570)"" involves an adversary using tools to collect data from a compromised system and exfiltrate it over the network."
Which MITRE ATT&CK technique involves an adversary sending malicious emails to targeted users with a weaponized attachment as part of the Initial Access phase on the Enterprise platform?	Execution through Module Load	Phishing for Information	Exploit Public-Facing Application	Spearphishing Attachment	D	Spearphishing Attachment corresponds to T1566.001 - Spearphishing Attachment, a technique used for initial access in the Enterprise environment.
Which technique from the MITRE ATT&CK framework would be most relevant to analyze if an adversary is attempting to gain access to sensitive information by exploiting a vulnerability in a web application?	Execution through API (T1101 - Scripting)	Browser Extensions (T1176 - Browser Extensions)	Exploitation for Client Execution (T1203 - Exploitation for Client Execution)	Web Service (T1102 - Web Service)	C	"Analyzing the technique ""Exploitation for Client Execution (T1203)"" is crucial when investigating adversaries exploiting web application vulnerabilities to gain access to sensitive information. This technique involves adversaries using software vulnerabilities to"
Which MITRE ATT&CK technique focuses on adversaries exploiting trust in authenticated services to gain unauthorized access to systems?	Remote Services (T1105) - Ingress Tool Transfer	Data from Local System (T1005) - Data from Local System	Valid Accounts (T1078) - Valid Accounts	Exploitation for Credential Access (T1212) - Exploitation for Credential Access	C	"Adversaries may abuse trust in authenticated services to leverage valid accounts for unauthorized system access, a tactic covered under the MITRE ATT&CK technique ""Valid Accounts (T1078) - Valid Accounts."""
In the context of MITRE ATT&CK Enterprise, which technique involves manipulating shared content to enable lateral movement within an organization?	Process Doppelgänging (T1055)	Shared Modules (T1129)	Valid Accounts (T1078)	Remote Desktop Protocol (T1076)	A	Process Doppelgänging (T1055) is a technique that involves manipulating shared content to enable lateral movement within an organization, making it a relevant option in this scenario. Shared Modules (T1129) may sound plausible but do not directly align with the described manipulation of shared content. Valid Accounts (T1078) and
Which MITRE ATT&CK technique involves an adversary sending malicious emails designed to trick users into revealing sensitive information by posing as a trustworthy entity?	Phishing (T1566.001)	Spearphishing Attachment (T1566.001)	Phishing for Information (T1566.001)	Spearphishing Link (T1566.001)	B	Spearphishing is a social engineering technique where attackers send emails to deceive recipients into divulging confidential information or executing malicious attachments or links. Spearphishing specifically targets individuals or organizations with personalized content to increase the chances of success.
Which MITRE ATT&CK technique involves an attacker using a valid account to log into a system and then escalating privileges by executing malicious code?	Execution through API (T1101 - Execution through API)	Valid Accounts (T1078 - Valid Accounts)	Remote Services (T1021 - Remote Services)	Exploitation for Privilege Escalation (T1068 - Exploitation for Privilege Escalation)	B	T1078 - Valid Accounts involves an attacker using a valid account to log into a system and then escalating privileges by executing malicious code.
Which MITRE ATT&CK technique involves an adversary sending unsolicited emails with malicious attachments to various targets?	Spearphishing Attachment	Phishing for Information	Remote System Discovery	Exploit Public-Facing Application	A	Spearphishing Attachment is the technique ID T1193 in MITRE ATT&CK, where adversaries send emails with malicious attachments to target victims. Phishing for Information (T1598), Remote System Discovery (T1018), and Exploit Public-Facing Application (T1190) are not directly related to this specific email-based attack tactic.
Which MITRE ATT&CK technique involves an adversary collecting information about a target via public sources like social media and company websites?	T1593 - Phishing for Information	T1599 - Conduct Social Engineering	T1597 - Active Scanning	T1591 - Gather Victim Identity Information	B	T1599 - Conduct Social Engineering is the correct answer as it specifically refers to the technique of an adversary gathering information about a target through public sources like social media and company websites, aligning with the description provided in the text.
Which technique within the MITRE ATT&CK framework (Enterprise) involves an attacker manipulating valid authentication tokens to gain unauthorized access to resources?	(A) Credential Dumping	(B) Kerberoasting	(C) Pass the Ticket	(D) Valid Accounts	(C) Pass the Ticket	The Pass the Ticket technique within the MITRE ATT&CK framework (Enterprise) involves an attacker manipulating valid authentication tokens to gain unauthorized access to resources. Kerberoasting involves extracting Kerberos tickets and is not directly related to manipulating authentication tokens. Credential Dumping involves obtaining account login and password information, while Valid Accounts refer to leveraging existing accounts.
Which MITRE ATT&CK technique involves an adversary using valid accounts to log into a remote machine and execute commands to gather information?	Reconnaissance via Man in the Middle (T1179)	Valid Accounts (T1078)	External Remote Services (T1133)	Windows Admin Shares (T1021.002)	B	Adversaries often use valid accounts (T1078) to move laterally within a network and execute commands on remote machines to gather information. Reconnaissance via Man in the Middle (T1179) involves an adversary observing and intercepting network traffic. External Remote Services (T1133) refers to
Which MITRE ATT&CK technique involves an adversary using a computer or network to attack another device, server, or network?	RDP Hijacking (T1076 - Remote Desktop Protocol)	Data Encrypted for Impact (T1486 - Data Encrypted for Impact)	Remote File Copy (T1105 - Remote File Copy)	Connection Proxy (T1090 - Connection Proxy)	D	Connection Proxy (T1090 - Connection Proxy)
Which MITRE ATT&CK technique involves an attacker leveraging a vulnerability in the victim's browser to execute malicious code on the victim's machine?	Process Injection (T1055)	Exploit Public-Facing Application (T1190)	Spearphishing Attachment (T1193)	Browser Exploitation (T1189)	D	Browser Exploitation (T1189) corresponds to the technique of an attacker exploiting vulnerabilities in a victim's browser to execute malicious code. This requires a deep understanding of browser security risks and exploitation methods.
Which MITRE ATT&CK technique involves an adversary sending unsolicited emails with malicious attachments to deceive users into executing them?	T1566.001 - Spearphishing Attachment	T1566.002 - Spearphishing Link	T1192 - Spearphishing via Service	T1566 - Phishing	B	T1566.001 - Spearphishing Attachment is the correct answer as it specifically refers to the technique of sending malicious attachments through email to trick users into opening them. T1566.002 - Spearphishing Link involves sending malicious links instead of attachments. T1192 - Spearphishing via Service is about using services like email or messaging to conduct
Which MITRE ATT&CK technique involves the adversary using a malicious binary to establish persistence on a compromised system?	Defense Evasion: T1070 Application Layer Protocol: T1071 Boot or Logon Autostart Execution: T1547 Scheduled Task/Job: T1053	Scheduled Task/Job: T1053 Defense Evasion: T1070 Boot or Logon Autostart Execution: T1547 Application Layer Protocol: T1071	Scheduled Task/Job: T1053	Adversaries often use the Scheduled Task/Job technique (T1053) to establish persistence by scheduling a task to execute malicious binaries.		
Which MITRE ATT&CK technique involves an attacker abusing the trust relationship between a service and a client to authenticate to a service provider by impersonating the client?	Repression of Process Hollowing (T1055.012)	Exploitation for Credential Stuffing (T1110.004)	Impersonation of Client/Server Protocol (T1521)	Service Stop (T1489)	C	Impersonation of Client/Server Protocol (T1521) involves an attacker abusing the trust relationship between a service and a client to authenticate to a service provider by impersonating the client, allowing unauthorized access to the service provider's resources
Which MITRE ATT&CK technique involves an adversary downloading and executing a file using a signed binary proxy execution method on the Enterprise platform?	Process Injection: Dynamic-link Library Injection (T1055.002)	Masquerading: Compiled HTML File (T1036.005)	Command and Scripting Interpreter: PowerShell (T1059.001)	Security Software Discovery: Security Software Discovery (T1518.001)	Command and Scripting Interpreter: PowerShell (T1059.001)	The technique described involves using PowerShell for signed binary proxy execution, aligning with the PowerShell technique (T1059.001) on the Enterprise platform.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary abusing functionality to execute malicious scripts that can be used to manipulate or steal data on a targeted system?	Scripting (T1064 - Scripting)	Exploitation for Client Execution (T1203 - Exploitation for Client Execution)	Remote File Copy (T1105 - Ingress Tool Transfer)	Exfiltration Over Other Network Medium (T1011 - Exfiltration Over Other Network Medium)	A	Adversaries commonly leverage Scripting (T1064 - Scripting) to execute malicious scripts for data manipulation or theft on a compromised
Which MITRE ATT&CK technique involves the attacker leveraging a trusted relationship to gain access to a victim's system?	Account Manipulation (T1098)	Exploitation for Client Execution (T1203)	Spearphishing Attachment (T1193)	Valid Accounts (T1078)	D	Account Manipulation (T1098) involves manipulating accounts to gain access, while the other options focus on different techniques.
Which MITRE ATT&CK technique involves an adversary abusing a legitimate functionality to hide malicious activity on an Enterprise platform?	Process Hollowing (T1055)	Process Injection (T1055)	Process Doppelgänging (T1055)	Process Migration (T1055)	C	Process Doppelgänging (T1055) is a technique where an adversary abuses a legitimate functionality for hiding malicious activity on an Enterprise platform.
Which MITRE ATT&CK technique involves an adversary exploiting a software vulnerability to execute code on a target system?	Execution through API	Exploit Public-Facing Application	Exploitation for Credential Access	Exploit Public-Facing Application (T1190 - Exploitation for Credential Access)	B	Exploiting a software vulnerability to execute code on a target system is specifically addressed by the MITRE ATT&CK technique Exploit Public-Facing Application. The other options relate to different attack techniques within the MITRE ATT&CK framework.
Which MITRE ATT&CK technique involves an adversary using valid accounts to log into a system with the intent of stealing sensitive information?	Account Manipulation (T1098)	Valid Accounts (T1078)	Valid Accounts (Enterprise)	Valid Accounts (T1110)	B	Account Manipulation (T1098) involves adversaries manipulating accounts to maintain access or to perform unauthorized actions. Valid Accounts (T1078) specifically refers to the use of existing accounts for unauthorized access.
Which MITRE ATT&CK technique involves an adversary using a software tool to validate a set of stolen credentials against a web application?	Reusing Passwords (T1110)	Brute Force (T1110)	Phishing for Information (T1566.001)	Credential Dumping (T1003)	C	Among the provided options, the correct technique for an adversary using a software tool to validate stolen credentials against a web application is Phishing for Information (T1566.001). This technique specifically focuses on the use of software tools to validate credentials acquired through phishing attacks.
Which MITRE ATT&CK technique involves an adversary attempting to get a user to execute a malicious file by masquerading it as a legitimate file or software update?	 A. Execution Guardrails	B. Masquerading	C. User Execution	D. Software Manipulation	C. User Execution	"This question tests the candidate's knowledge of the MITRE ATT&CK technique ""User Execution"" (T1204). Adversaries often rely on social engineering tactics to trick users into executing malicious files, emphasizing the importance of user awareness and education in cybersecurity defense strategies."
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary performing actions to make an incident look like it is a legitimate system function to avoid detection?	Process Injection (T1055 - Process Injection)	Valid Accounts (T1078 - Valid Accounts)	Obfuscated Files or Information (T1027 - Obfuscated Files or Information)	Indirect Command Execution (T1202 - Indirect Command Execution)	A	Process injection is a technique where an adversary injects code into a process to evade detection and make the malicious activity appear as part of a legitimate system function. The other options do not specifically involve disguising
Which MITRE ATT&CK technique involves an adversary sending emails to users, usually containing malicious attachments or links, to establish an initial foothold in the target environment?	Spearphishing Attachment (T1193)	Rundll32 (T1085)	Exploit Public-Facing Application (T1190)	User Execution (T1204)	A	Spearphishing is a common technique where threat actors send emails with malicious attachments or links to trick users into executing malware or providing credentials, enabling them to gain an initial foothold in the target environment. Rundll32 refers to a legitimate Windows executable used to run DLLs. Exploit
Which MITRE ATT&CK technique involves an adversary using a known vulnerability in an operating system to gain unauthorized access to a system?	Reconnaissance (T1592)	Spearphishing Attachment (T1566.001)	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	The correct answer is Option C, Exploit Public-Facing Application (T1190). This technique involves an adversary exploiting a vulnerability in a public-facing application to gain unauthorized access. Option B, Spearphishing Attachment (T1566.
In the context of MITRE ATT&CK Enterprise, which technique involves an adversary using valid accounts to log into a service to conduct malicious activities?	Account Access Removal	Valid Accounts	Valid Credentials	Account Manipulation	C	Adversaries can abuse valid accounts to maintain persistence or escalate privileges within a network, making it crucial for threat intelligence professionals to monitor such activities.
Which MITRE ATT&CK technique involves an attacker leveraging legitimate network protocols to communicate with a compromised system, allowing for stealthy data exfiltration?	Process Hollowing (T1055.012)	Remote Desktop Protocol (T1021)	Data Encoding (T1132)	Command and Scripting Interpreter (T1059)	B	Option B, Remote Desktop Protocol (T1021), is a technique where attackers use legitimate network protocols to interact with compromised systems, enabling covert data exfiltration. This technique requires security professionals to understand how adversaries exploit common protocols for malicious purposes, enhancing their threat intelligence capabilities.
